feature_rank,feature_id,collage_path,activation_mean,activation_max,num_images,interpretation
24,26930,./assets/report_collages\feature_26930.jpg,0.4133043885231018,1.4645097255706787,12,
25,37988,./assets/report_collages\feature_37988.jpg,0.40925294160842896,1.342648983001709,12,
26,9311,./assets/report_collages\feature_09311.jpg,0.4086257517337799,1.459431529045105,12,
27,30496,./assets/report_collages\feature_30496.jpg,0.39991581439971924,1.3643404245376587,12,
28,17018,./assets/report_collages\feature_17018.jpg,0.39990049600601196,1.8242597579956055,12,
29,19534,./assets/report_collages\feature_19534.jpg,0.3960319459438324,1.3760952949523926,12,
30,27667,./assets/report_collages\feature_27667.jpg,0.3942398130893707,1.5774776935577393,12,
31,33396,./assets/report_collages\feature_33396.jpg,0.3901996910572052,1.5456920862197876,12,
32,44616,./assets/report_collages\feature_44616.jpg,0.3884859085083008,1.7174654006958008,12,
33,8493,./assets/report_collages\feature_08493.jpg,0.3864213526248932,1.3096517324447632,12,
34,18194,./assets/report_collages\feature_18194.jpg,0.385658323764801,1.637435793876648,12,
35,46167,./assets/report_collages\feature_46167.jpg,0.37944307923316956,1.7358510494232178,12,"mexican_with_sauce"
36,25980,./assets/report_collages\feature_25980.jpg,0.37645235657691956,1.750357747077942,12,"eggs"
37,28478,./assets/report_collages\feature_28478.jpg,0.37637093663215637,1.408574104309082,12,
38,6419,./assets/report_collages\feature_06419.jpg,0.3693258464336395,2.0253872871398926,12,
39,7411,./assets/report_collages\feature_07411.jpg,0.36438626050949097,1.637168288230896,12,
40,26109,./assets/report_collages\feature_26109.jpg,0.3578551709651947,1.4272584915161133,12,
41,40297,./assets/report_collages\feature_40297.jpg,0.35692572593688965,1.7922890186309814,12,
42,8780,./assets/report_collages\feature_08780.jpg,0.35664334893226624,1.4190964698791504,12,"noise"
43,4782,./assets/report_collages\feature_04782.jpg,0.35055574774742126,1.3043562173843384,12,
44,25147,./assets/report_collages\feature_25147.jpg,0.3486926853656769,1.2663650512695312,12,
45,10485,./assets/report_collages\feature_10485.jpg,0.34667283296585083,1.4402183294296265,12,
46,11833,./assets/report_collages\feature_11833.jpg,0.34590455889701843,1.232438087463379,12,
47,18343,./assets/report_collages\feature_18343.jpg,0.3453359305858612,1.464206337928772,12,"red_sauce"
48,23270,./assets/report_collages\feature_23270.jpg,0.34478139877319336,1.3035989999771118,12,
49,40790,./assets/report_collages\feature_40790.jpg,0.3446386158466339,1.5763721466064453,12,
50,11272,./assets/report_collages\feature_11272.jpg,0.3442179560661316,1.3381690979003906,12,
51,13834,./assets/report_collages\feature_13834.jpg,0.3423481285572052,1.2215611934661865,12,
52,36184,./assets/report_collages\feature_36184.jpg,0.33887019753456116,1.5159822702407837,12,
53,39664,./assets/report_collages\feature_39664.jpg,0.33884313702583313,1.6468868255615234,12,
54,34932,./assets/report_collages\feature_34932.jpg,0.33745715022087097,1.6183887720108032,12,
55,22504,./assets/report_collages\feature_22504.jpg,0.33704861998558044,1.4797685146331787,12,
56,684,./assets/report_collages\feature_00684.jpg,0.33675602078437805,1.370631217956543,12,
57,12817,./assets/report_collages\feature_12817.jpg,0.3360863924026489,1.6702678203582764,12,
58,39109,./assets/report_collages\feature_39109.jpg,0.3359639048576355,1.2807289361953735,12,
59,4875,./assets/report_collages\feature_04875.jpg,0.3358187675476074,1.5301419496536255,12,
60,49022,./assets/report_collages\feature_49022.jpg,0.33502310514450073,1.5935754776000977,12,"meat_with_greens"
61,4383,./assets/report_collages\feature_04383.jpg,0.33490321040153503,1.490957498550415,12,
62,30191,./assets/report_collages\feature_30191.jpg,0.3343290090560913,1.4130557775497437,12,
63,17761,./assets/report_collages\feature_17761.jpg,0.33369776606559753,1.452466607093811,12,
64,16011,./assets/report_collages\feature_16011.jpg,0.33058881759643555,1.2928332090377808,12,
65,5605,./assets/report_collages\feature_05605.jpg,0.3296050429344177,1.3412139415740967,12,
66,37965,./assets/report_collages\feature_37965.jpg,0.32865336537361145,1.327906847000122,12,
67,8454,./assets/report_collages\feature_08454.jpg,0.3286397159099579,1.2135049104690552,12,
68,47368,./assets/report_collages\feature_47368.jpg,0.3284994661808014,1.4261517524719238,12,"soup_puree"
69,26636,./assets/report_collages\feature_26636.jpg,0.32813912630081177,1.2982068061828613,12,
70,39310,./assets/report_collages\feature_39310.jpg,0.32692110538482666,1.5949076414108276,12,
71,16449,./assets/report_collages\feature_16449.jpg,0.3246193528175354,1.5619601011276245,12,"noise"
72,43980,./assets/report_collages\feature_43980.jpg,0.3224238455295563,1.3065534830093384,12,
73,13780,./assets/report_collages\feature_13780.jpg,0.3223643898963928,1.4353516101837158,12,
74,44249,./assets/report_collages\feature_44249.jpg,0.32175037264823914,1.4758719205856323,12,
75,24129,./assets/report_collages\feature_24129.jpg,0.3204827308654785,1.3796474933624268,12,
76,5778,./assets/report_collages\feature_05778.jpg,0.3204021751880646,1.350009799003601,12,
77,3663,./assets/report_collages\feature_03663.jpg,0.3198784291744232,1.3595798015594482,12,
78,3359,./assets/report_collages\feature_03359.jpg,0.31979644298553467,1.3169463872909546,12,
79,45618,./assets/report_collages\feature_45618.jpg,0.3191060721874237,1.303684115409851,12,
80,41915,./assets/report_collages\feature_41915.jpg,0.3188517987728119,1.3102365732192993,12,
81,25481,./assets/report_collages\feature_25481.jpg,0.3182263970375061,1.7307990789413452,12,
82,6387,./assets/report_collages\feature_06387.jpg,0.3135651648044586,1.6929404735565186,12,
83,8287,./assets/report_collages\feature_08287.jpg,0.3118084669113159,1.4497202634811401,12,
84,43499,./assets/report_collages\feature_43499.jpg,0.31165918707847595,1.1381977796554565,12,
85,40292,./assets/report_collages\feature_40292.jpg,0.31064727902412415,1.2460100650787354,12,
86,17114,./assets/report_collages\feature_17114.jpg,0.31037017703056335,1.4044702053070068,12,
87,12882,./assets/report_collages\feature_12882.jpg,0.31030553579330444,1.4673875570297241,12,
88,24159,./assets/report_collages\feature_24159.jpg,0.3100249171257019,1.3751466274261475,12,
89,23453,./assets/report_collages\feature_23453.jpg,0.308919757604599,1.5761535167694092,12,
90,34061,./assets/report_collages\feature_34061.jpg,0.30766910314559937,1.388090968132019,12,
91,22869,./assets/report_collages\feature_22869.jpg,0.3066297769546509,1.2006502151489258,12,
92,10170,./assets/report_collages\feature_10170.jpg,0.3034431040287018,1.2794313430786133,12,"hot_dog"
93,41089,./assets/report_collages\feature_41089.jpg,0.3031436800956726,1.4328067302703857,12,
94,4871,./assets/report_collages\feature_04871.jpg,0.3027372360229492,1.3953232765197754,12,
95,45906,./assets/report_collages\feature_45906.jpg,0.30112192034721375,1.4043123722076416,12,
96,17660,./assets/report_collages\feature_17660.jpg,0.3010690212249756,1.3538532257080078,12,
97,35028,./assets/report_collages\feature_35028.jpg,0.3003115952014923,1.77761971950531,12,
98,8063,./assets/report_collages\feature_08063.jpg,0.29795846343040466,1.261997938156128,12,
99,28607,./assets/report_collages\feature_28607.jpg,0.29725080728530884,1.3134831190109253,12,
100,919,./assets/report_collages\feature_00919.jpg,0.2965576946735382,1.6200096607208252,12,
101,39259,./assets/report_collages\feature_39259.jpg,0.2956085503101349,1.6841777563095093,12,
102,16781,./assets/report_collages\feature_16781.jpg,0.2951028645038605,1.245590329170227,12,"noise"
103,2524,./assets/report_collages\feature_02524.jpg,0.29506534337997437,1.3208997249603271,12,
104,27269,./assets/report_collages\feature_27269.jpg,0.29335805773735046,1.108264446258545,12,
105,22155,./assets/report_collages\feature_22155.jpg,0.2927354872226715,1.2606785297393799,12,
106,41658,./assets/report_collages\feature_41658.jpg,0.2926879823207855,1.2925509214401245,12,
107,10501,./assets/report_collages\feature_10501.jpg,0.29231175780296326,1.1558501720428467,12,
108,3892,./assets/report_collages\feature_03892.jpg,0.29167619347572327,1.5750386714935303,12,
109,40131,./assets/report_collages\feature_40131.jpg,0.2906492054462433,1.882031798362732,12,
110,16286,./assets/report_collages\feature_16286.jpg,0.28953415155410767,1.5032391548156738,12,
111,46563,./assets/report_collages\feature_46563.jpg,0.28836309909820557,1.5875239372253418,12,
112,21514,./assets/report_collages\feature_21514.jpg,0.2881113290786743,1.479064702987671,12,
113,11628,./assets/report_collages\feature_11628.jpg,0.2876596748828888,1.5926152467727661,12,
114,47250,./assets/report_collages\feature_47250.jpg,0.2876456081867218,1.436025857925415,12,
115,17205,./assets/report_collages\feature_17205.jpg,0.28740474581718445,1.306947112083435,12,
116,1846,./assets/report_collages\feature_01846.jpg,0.28685370087623596,1.2500840425491333,12,
117,33060,./assets/report_collages\feature_33060.jpg,0.2867228388786316,1.3500391244888306,12,
118,23834,./assets/report_collages\feature_23834.jpg,0.28662848472595215,1.1811736822128296,12,
119,32412,./assets/report_collages\feature_32412.jpg,0.28359588980674744,1.4608173370361328,12,
120,24966,./assets/report_collages\feature_24966.jpg,0.28271329402923584,1.2463440895080566,12,
121,510,./assets/report_collages\feature_00510.jpg,0.28261736035346985,1.331173300743103,12,
122,36289,./assets/report_collages\feature_36289.jpg,0.2824063301086426,1.516538381576538,12,
123,35676,./assets/report_collages\feature_35676.jpg,0.2818610966205597,1.5672017335891724,12,
124,3577,./assets/report_collages\feature_03577.jpg,0.281363308429718,1.2689751386642456,12,
125,8396,./assets/report_collages\feature_08396.jpg,0.28035783767700195,1.6002451181411743,12,
126,38749,./assets/report_collages\feature_38749.jpg,0.28015387058258057,1.3483402729034424,12,
127,38300,./assets/report_collages\feature_38300.jpg,0.2797536253929138,1.189495325088501,12,
128,9402,./assets/report_collages\feature_09402.jpg,0.2793427109718323,1.182867169380188,12,"salad"
129,23435,./assets/report_collages\feature_23435.jpg,0.2781710922718048,1.2207872867584229,12,
130,32037,./assets/report_collages\feature_32037.jpg,0.2762334644794464,1.301654577255249,12,
131,5422,./assets/report_collages\feature_05422.jpg,0.2737419903278351,1.165010929107666,12,
132,31010,./assets/report_collages\feature_31010.jpg,0.2729448676109314,1.2264355421066284,12,
133,6261,./assets/report_collages\feature_06261.jpg,0.27162259817123413,1.16373872756958,12,
134,36735,./assets/report_collages\feature_36735.jpg,0.27162256836891174,1.5786198377609253,12,
135,14467,./assets/report_collages\feature_14467.jpg,0.27087193727493286,1.4554075002670288,12,
136,29113,./assets/report_collages\feature_29113.jpg,0.27027931809425354,1.5218104124069214,12,
137,25418,./assets/report_collages\feature_25418.jpg,0.270068883895874,1.401520013809204,12,
138,13594,./assets/report_collages\feature_13594.jpg,0.26944413781166077,1.4782742261886597,12,
139,48402,./assets/report_collages\feature_48402.jpg,0.2693055272102356,1.385406494140625,12,
140,12916,./assets/report_collages\feature_12916.jpg,0.2689003050327301,1.5153300762176514,12,
141,42721,./assets/report_collages\feature_42721.jpg,0.2670550048351288,1.1775869131088257,12,
142,4403,./assets/report_collages\feature_04403.jpg,0.26658010482788086,1.537543535232544,12,
143,27207,./assets/report_collages\feature_27207.jpg,0.2656950354576111,1.1818574666976929,12,
144,7804,./assets/report_collages\feature_07804.jpg,0.26400694251060486,1.5541532039642334,12,"noise"
145,162,./assets/report_collages\feature_00162.jpg,0.2633257508277893,1.3019676208496094,12,
146,38847,./assets/report_collages\feature_38847.jpg,0.26331546902656555,1.675943374633789,12,
147,32693,./assets/report_collages\feature_32693.jpg,0.2623460590839386,1.3163971900939941,12,
148,12084,./assets/report_collages\feature_12084.jpg,0.2623353898525238,1.309108018875122,12,
149,37494,./assets/report_collages\feature_37494.jpg,0.26216983795166016,1.2948112487792969,12,
150,23181,./assets/report_collages\feature_23181.jpg,0.2619667649269104,1.1093418598175049,12,
151,41920,./assets/report_collages\feature_41920.jpg,0.2612736225128174,1.1785153150558472,12,
152,24317,./assets/report_collages\feature_24317.jpg,0.26076310873031616,1.3903435468673706,12,
153,39049,./assets/report_collages\feature_39049.jpg,0.260623961687088,1.3638995885849,12,
154,28659,./assets/report_collages\feature_28659.jpg,0.2600425183773041,1.068039894104004,12,
155,32708,./assets/report_collages\feature_32708.jpg,0.25979647040367126,1.2965102195739746,12,
156,13437,./assets/report_collages\feature_13437.jpg,0.2593478262424469,1.3811702728271484,12,
157,24157,./assets/report_collages\feature_24157.jpg,0.2588565945625305,1.1997801065444946,12,
158,7650,./assets/report_collages\feature_07650.jpg,0.25848180055618286,1.1684983968734741,12,
159,811,./assets/report_collages\feature_00811.jpg,0.2584683299064636,1.160996913909912,12,
160,24914,./assets/report_collages\feature_24914.jpg,0.25813665986061096,1.456483006477356,12,
161,6545,./assets/report_collages\feature_06545.jpg,0.2568201720714569,1.3160152435302734,12,
162,41722,./assets/report_collages\feature_41722.jpg,0.2567003667354584,1.3220866918563843,12,
163,38335,./assets/report_collages\feature_38335.jpg,0.2563568949699402,1.3583698272705078,12,
164,42227,./assets/report_collages\feature_42227.jpg,0.2546934485435486,1.3508551120758057,12,
165,36520,./assets/report_collages\feature_36520.jpg,0.2546747326850891,1.3259519338607788,12,
166,48067,./assets/report_collages\feature_48067.jpg,0.25300300121307373,1.3064098358154297,12,"pie"
167,31268,./assets/report_collages\feature_31268.jpg,0.2526911497116089,1.2723937034606934,12,
168,5735,./assets/report_collages\feature_05735.jpg,0.25262752175331116,1.256142020225525,12,
169,12352,./assets/report_collages\feature_12352.jpg,0.2524818778038025,1.1157679557800293,12,
170,31483,./assets/report_collages\feature_31483.jpg,0.2523048222064972,1.5211645364761353,12,
171,41531,./assets/report_collages\feature_41531.jpg,0.25202810764312744,1.1325997114181519,12,
172,14393,./assets/report_collages\feature_14393.jpg,0.25151801109313965,1.1078269481658936,12,
173,7997,./assets/report_collages\feature_07997.jpg,0.25138115882873535,1.2803223133087158,12,
174,45479,./assets/report_collages\feature_45479.jpg,0.25098028779029846,1.166082739830017,12,
175,7857,./assets/report_collages\feature_07857.jpg,0.25078561902046204,1.2346690893173218,12,
176,13876,./assets/report_collages\feature_13876.jpg,0.25050055980682373,1.262818694114685,12,
177,1458,./assets/report_collages\feature_01458.jpg,0.25046512484550476,1.169236660003662,12,
178,8653,./assets/report_collages\feature_08653.jpg,0.24977873265743256,1.295440673828125,12,
179,28374,./assets/report_collages\feature_28374.jpg,0.2493082731962204,1.1854912042617798,12,
180,48262,./assets/report_collages\feature_48262.jpg,0.2492256909608841,1.1460771560668945,12,
181,39376,./assets/report_collages\feature_39376.jpg,0.24899262189865112,1.0989468097686768,12,
182,19821,./assets/report_collages\feature_19821.jpg,0.24833381175994873,1.3662550449371338,12,
183,3410,./assets/report_collages\feature_03410.jpg,0.24831274151802063,1.0599342584609985,12,
184,40742,./assets/report_collages\feature_40742.jpg,0.24811550974845886,1.2384521961212158,12,
185,15830,./assets/report_collages\feature_15830.jpg,0.2480705827474594,1.3968268632888794,12,
186,38099,./assets/report_collages\feature_38099.jpg,0.24767833948135376,1.227827548980713,12,
187,29205,./assets/report_collages\feature_29205.jpg,0.2476453334093094,1.1884212493896484,12,
188,25891,./assets/report_collages\feature_25891.jpg,0.247026726603508,1.4305976629257202,12,
189,24718,./assets/report_collages\feature_24718.jpg,0.24694786965847015,1.2506389617919922,12,
190,32828,./assets/report_collages\feature_32828.jpg,0.2468983680009842,1.3401250839233398,12,
191,12945,./assets/report_collages\feature_12945.jpg,0.24642133712768555,1.4373480081558228,12,
192,45299,./assets/report_collages\feature_45299.jpg,0.24592681229114532,1.1896066665649414,12,
193,12267,./assets/report_collages\feature_12267.jpg,0.24546264111995697,1.2017217874526978,12,
194,2475,./assets/report_collages\feature_02475.jpg,0.24467551708221436,1.272232174873352,12,
195,48906,./assets/report_collages\feature_48906.jpg,0.244458869099617,1.1776013374328613,12,
196,4690,./assets/report_collages\feature_04690.jpg,0.24394404888153076,1.3540407419204712,12,
197,4881,./assets/report_collages\feature_04881.jpg,0.24387671053409576,1.268589735031128,12,
198,43143,./assets/report_collages\feature_43143.jpg,0.24374382197856903,1.1562421321868896,12,
199,562,./assets/report_collages\feature_00562.jpg,0.24367529153823853,1.4307647943496704,12,"grated_cheese"
200,7220,./assets/report_collages\feature_07220.jpg,0.243341326713562,1.1284666061401367,12,
201,19014,./assets/report_collages\feature_19014.jpg,0.241608127951622,1.1677467823028564,12,
202,3163,./assets/report_collages\feature_03163.jpg,0.24150915443897247,1.3727649450302124,12,
203,15474,./assets/report_collages\feature_15474.jpg,0.23990070819854736,1.2303354740142822,12,
204,37816,./assets/report_collages\feature_37816.jpg,0.2398294359445572,1.407078742980957,12,
205,44637,./assets/report_collages\feature_44637.jpg,0.23896288871765137,1.240627646446228,12,
206,42084,./assets/report_collages\feature_42084.jpg,0.23831245303153992,1.313293218612671,12,
207,7615,./assets/report_collages\feature_07615.jpg,0.2380564659833908,1.2805843353271484,12,
208,17096,./assets/report_collages\feature_17096.jpg,0.23608745634555817,1.2646347284317017,12,
209,26153,./assets/report_collages\feature_26153.jpg,0.23471423983573914,1.350171446800232,12,
210,22336,./assets/report_collages\feature_22336.jpg,0.23438867926597595,1.1585699319839478,12,
211,17875,./assets/report_collages\feature_17875.jpg,0.23372782766819,1.366337776184082,12,
212,10400,./assets/report_collages\feature_10400.jpg,0.2335389107465744,1.3071720600128174,12,"ribs"
213,14091,./assets/report_collages\feature_14091.jpg,0.23316684365272522,1.1079401969909668,12,
214,3753,./assets/report_collages\feature_03753.jpg,0.232643261551857,1.615828514099121,12,
215,21420,./assets/report_collages\feature_21420.jpg,0.23213806748390198,1.2796216011047363,12,
216,3278,./assets/report_collages\feature_03278.jpg,0.23204083740711212,1.4913262128829956,12,
217,48724,./assets/report_collages\feature_48724.jpg,0.2302134484052658,1.3871265649795532,12,"berry_dessert"
218,9909,./assets/report_collages\feature_09909.jpg,0.2297724336385727,1.5396820306777954,12,
219,2498,./assets/report_collages\feature_02498.jpg,0.2296677678823471,1.3140827417373657,12,
220,1645,./assets/report_collages\feature_01645.jpg,0.22916269302368164,1.3693560361862183,12,
221,29397,./assets/report_collages\feature_29397.jpg,0.2290365993976593,1.5204765796661377,12,
222,7007,./assets/report_collages\feature_07007.jpg,0.22837106883525848,1.3054790496826172,12,
223,41737,./assets/report_collages\feature_41737.jpg,0.22823293507099152,1.116864562034607,12,
224,36016,./assets/report_collages\feature_36016.jpg,0.22799895703792572,1.229625940322876,12,
225,43696,./assets/report_collages\feature_43696.jpg,0.22776740789413452,1.6209180355072021,12,"fries"
226,19801,./assets/report_collages\feature_19801.jpg,0.22760500013828278,1.444623589515686,12,"burger"
227,320,./assets/report_collages\feature_00320.jpg,0.2273680418729782,1.0020285844802856,12,
228,18891,./assets/report_collages\feature_18891.jpg,0.2268282026052475,1.1350475549697876,12,
229,20586,./assets/report_collages\feature_20586.jpg,0.2264937460422516,1.1189709901809692,12,
230,7223,./assets/report_collages\feature_07223.jpg,0.22566638886928558,1.4748291969299316,12,
231,14087,./assets/report_collages\feature_14087.jpg,0.22559259831905365,1.5805156230926514,12,
232,12073,./assets/report_collages\feature_12073.jpg,0.2248799353837967,1.4171757698059082,12,
233,5362,./assets/report_collages\feature_05362.jpg,0.22355905175209045,1.2498838901519775,12,
234,39175,./assets/report_collages\feature_39175.jpg,0.22347195446491241,1.1006171703338623,12,
235,11045,./assets/report_collages\feature_11045.jpg,0.22313351929187775,1.2401825189590454,12,
236,19742,./assets/report_collages\feature_19742.jpg,0.22254516184329987,1.1911242008209229,12,
237,13364,./assets/report_collages\feature_13364.jpg,0.2223384976387024,1.8092396259307861,12,
238,12665,./assets/report_collages\feature_12665.jpg,0.22198332846164703,1.1517691612243652,12,"noise"
239,17791,./assets/report_collages\feature_17791.jpg,0.21961607038974762,1.3561955690383911,12,
240,23081,./assets/report_collages\feature_23081.jpg,0.21937747299671173,1.2519227266311646,12,"dessert"
241,12123,./assets/report_collages\feature_12123.jpg,0.21922627091407776,1.0558542013168335,12,
242,4737,./assets/report_collages\feature_04737.jpg,0.21879665553569794,1.263454794883728,12,
243,45789,./assets/report_collages\feature_45789.jpg,0.21817930042743683,1.2284997701644897,12,
244,27746,./assets/report_collages\feature_27746.jpg,0.21781863272190094,1.3666349649429321,12,
245,27704,./assets/report_collages\feature_27704.jpg,0.21735380589962006,1.4528834819793701,12,
246,9579,./assets/report_collages\feature_09579.jpg,0.21734163165092468,1.2717291116714478,12,
247,45829,./assets/report_collages\feature_45829.jpg,0.21725693345069885,1.3586174249649048,12,
248,27566,./assets/report_collages\feature_27566.jpg,0.21713466942310333,1.0575982332229614,12,
249,22748,./assets/report_collages\feature_22748.jpg,0.21597228944301605,1.1093456745147705,12,
250,38447,./assets/report_collages\feature_38447.jpg,0.21486681699752808,0.9817684888839722,12,
251,14046,./assets/report_collages\feature_14046.jpg,0.21486222743988037,1.2673060894012451,12,
252,43698,./assets/report_collages\feature_43698.jpg,0.2148079127073288,1.0552738904953003,12,
253,942,./assets/report_collages\feature_00942.jpg,0.21474824845790863,1.170773983001709,12,
254,36365,./assets/report_collages\feature_36365.jpg,0.2145155817270279,1.1231712102890015,12,
255,26492,./assets/report_collages\feature_26492.jpg,0.21435095369815826,1.1834005117416382,12,
256,36691,./assets/report_collages\feature_36691.jpg,0.21401380002498627,1.2952558994293213,12,
257,13510,./assets/report_collages\feature_13510.jpg,0.21197976171970367,0.9977490901947021,12,
258,26070,./assets/report_collages\feature_26070.jpg,0.21144184470176697,1.3326447010040283,12,
259,21025,./assets/report_collages\feature_21025.jpg,0.211412712931633,1.1250555515289307,12,
260,15281,./assets/report_collages\feature_15281.jpg,0.21120591461658478,1.4023915529251099,12,
261,40644,./assets/report_collages\feature_40644.jpg,0.2110547572374344,1.3234459161758423,12,
262,11529,./assets/report_collages\feature_11529.jpg,0.2109471708536148,1.0762274265289307,12,
263,28691,./assets/report_collages\feature_28691.jpg,0.21025092899799347,1.1988227367401123,12,
264,21901,./assets/report_collages\feature_21901.jpg,0.2096685767173767,1.2644635438919067,12,"pasta"
265,44981,./assets/report_collages\feature_44981.jpg,0.2089667171239853,1.2676087617874146,12,
266,24817,./assets/report_collages\feature_24817.jpg,0.20863422751426697,1.282162070274353,12,
267,41000,./assets/report_collages\feature_41000.jpg,0.20843613147735596,1.4298030138015747,12,"egg_sandwich"
268,18185,./assets/report_collages\feature_18185.jpg,0.20833593606948853,1.4168418645858765,12,
269,26741,./assets/report_collages\feature_26741.jpg,0.20830923318862915,1.3911067247390747,12,
270,44092,./assets/report_collages\feature_44092.jpg,0.2075834721326828,1.1487698554992676,12,"cutlings"
271,44292,./assets/report_collages\feature_44292.jpg,0.20736564695835114,1.0171282291412354,12,"dumplings"
272,11943,./assets/report_collages\feature_11943.jpg,0.20657776296138763,1.1574058532714844,12,
273,29303,./assets/report_collages\feature_29303.jpg,0.20653294026851654,1.176908016204834,12,
274,15781,./assets/report_collages\feature_15781.jpg,0.20567460358142853,1.3511743545532227,12,
275,3203,./assets/report_collages\feature_03203.jpg,0.2049015909433365,1.359084963798523,12,
276,21310,./assets/report_collages\feature_21310.jpg,0.2041580080986023,1.1929453611373901,12,
277,1109,./assets/report_collages\feature_01109.jpg,0.2040635198354721,0.9358075857162476,12,
278,17320,./assets/report_collages\feature_17320.jpg,0.20340415835380554,1.1816123723983765,12,
279,5786,./assets/report_collages\feature_05786.jpg,0.20328505337238312,1.2189126014709473,12,
280,21369,./assets/report_collages\feature_21369.jpg,0.203233540058136,1.3119778633117676,12,
281,4990,./assets/report_collages\feature_04990.jpg,0.20318858325481415,0.9919675588607788,12,
282,22218,./assets/report_collages\feature_22218.jpg,0.20301583409309387,1.1243802309036255,12,
283,47481,./assets/report_collages\feature_47481.jpg,0.20291081070899963,1.1986385583877563,12,
284,5913,./assets/report_collages\feature_05913.jpg,0.20286297798156738,1.1084762811660767,12,
285,18039,./assets/report_collages\feature_18039.jpg,0.20255838334560394,1.3058874607086182,12,
286,46089,./assets/report_collages\feature_46089.jpg,0.2015618085861206,1.2217909097671509,12,
287,5774,./assets/report_collages\feature_05774.jpg,0.2015308290719986,1.2521814107894897,12,
288,10350,./assets/report_collages\feature_10350.jpg,0.20152144134044647,1.2523469924926758,12,
289,29431,./assets/report_collages\feature_29431.jpg,0.20095719397068024,1.1120723485946655,12,
290,20677,./assets/report_collages\feature_20677.jpg,0.20091582834720612,1.3454982042312622,12,
291,19301,./assets/report_collages\feature_19301.jpg,0.20042304694652557,1.2579190731048584,12,
292,15807,./assets/report_collages\feature_15807.jpg,0.20024709403514862,1.2566304206848145,12,
293,42971,./assets/report_collages\feature_42971.jpg,0.19891418516635895,1.020213007926941,12,
294,35137,./assets/report_collages\feature_35137.jpg,0.19878841936588287,1.3719497919082642,12,"mussels"
295,19848,./assets/report_collages\feature_19848.jpg,0.19869661331176758,1.0833780765533447,12,
296,42855,./assets/report_collages\feature_42855.jpg,0.19863612949848175,1.3872125148773193,12,"salmon_sushi"
297,7594,./assets/report_collages\feature_07594.jpg,0.19795607030391693,1.1752516031265259,12,
298,17029,./assets/report_collages\feature_17029.jpg,0.19791299104690552,1.1287744045257568,12,
299,20012,./assets/report_collages\feature_20012.jpg,0.19728319346904755,1.1852011680603027,12,
300,28278,./assets/report_collages\feature_28278.jpg,0.19675147533416748,1.2740329504013062,12,
